Title,Video url,Thumbnail url,Channel name,Duration
asmr ☾ rambling & fluffy mic scratching you to sleep 💤,https://www.youtube.com/watch?v=jtdGoiEGMJs,https://i.ytimg.com/vi/jtdGoiEGMJs/maxresdefault.jpg,nananightray,"18 Minutes, 30 Seconds"
POV You're on laying on my lap after a stressful day ASMR,https://www.youtube.com/watch?v=LhtC2aUKoQ0,https://i.ytimg.com/vi/LhtC2aUKoQ0/maxresdefault.jpg,Hixra ASMR,"18 Minutes, 38 Seconds"
✂️ Removing Negative Energy ~ Reiki Healing Session 🌀 ~ LOFI,https://www.youtube.com/watch?v=K6byiqvi6VE,https://i.ytimg.com/vi/K6byiqvi6VE/maxresdefault.jpg,Classics ASMR 18,"14 Minutes, 0 Seconds"
ASMR Luna Bloom Eyes Closed Compilation (3 Hours),https://www.youtube.com/watch?v=w5EWLZwL4SE,https://i.ytimg.com/vi/w5EWLZwL4SE/maxresdefault.jpg,Luna Bloom ASMR,"3 Hours, 7 Minutes, 51 Seconds"
Dreaming of the Hypnosis Goddess || ASMR,https://www.youtube.com/watch?v=AuefF-fKl8I,https://i.ytimg.com/vi/AuefF-fKl8I/sddefault.jpg,Baby Bella ASMR,"21 Minutes, 43 Seconds"
"Slow and Gentle ASMR For Sleep (Breathy Rambles, Tapping, Mouth Sounds, More!)",https://www.youtube.com/watch?v=Rak2I4rIDrQ,https://i.ytimg.com/vi/Rak2I4rIDrQ/maxresdefault.jpg,Jules ASMR,"23 Minutes, 7 Seconds"
Relaxing Harp Instrumental Music for Deep Sleep and Stress Relief | Soothing Sleep Sounds,https://www.youtube.com/watch?v=JQHZ_H-lQAU,https://i.ytimg.com/vi/JQHZ_H-lQAU/maxresdefault.jpg,FiuwLabub,"2 Hours, 31 Minutes, 32 Seconds"
ASMR. 정신 나갈 정도로 좋은 단어 반복과 간지러운 렌즈터칭 | Getting you to Sleep | Trigger words |100%Tingles,https://www.youtube.com/watch?v=ppOsp0Epz8I,https://i.ytimg.com/vi/ppOsp0Epz8I/maxresdefault.jpg,ASMR Mongsilunnie 몽실언니,"33 Minutes, 40 Seconds"
This is not love,https://www.youtube.com/watch?v=oE0d5eLxF60,https://i.ytimg.com/vi/oE0d5eLxF60/hqdefault.jpg,Ayieko,"3 Minutes, 18 Seconds"
ASMR Eyes Closed Instructions To Fall Asleep To 🌌⭐️❤️,https://www.youtube.com/watch?v=vqzEi8sBeX4,https://i.ytimg.com/vi/vqzEi8sBeX4/maxresdefault.jpg,Luna Bloom ASMR,"23 Minutes, 34 Seconds"
come ride tonight (car asmr),https://www.youtube.com/watch?v=tc6RdL64VXY,https://i.ytimg.com/vi/tc6RdL64VXY/maxresdefault.jpg,The MashaKata,"19 Minutes, 20 Seconds"
ASMR(Sub)껌 씹으며 말하기 싫은 까칠한 의사 선생님의 한의원🥼 | 침 + 마사지,https://www.youtube.com/watch?v=P3y7cyq7Q1Q,https://i.ytimg.com/vi/P3y7cyq7Q1Q/maxresdefault.jpg,ASMR POBEE _포비,"35 Minutes, 27 Seconds"
"Slow Burn 💜 - Love & Lust Relaxing Bedroom Vibes - Sexy Playlist, ORGAVSM",https://www.youtube.com/watch?v=x6XbGazOWv4,https://i.ytimg.com/vi/x6XbGazOWv4/maxresdefault.jpg,ORGAVSM,"2 Hours, 1 Minutes, 20 Seconds"
