Title,Video url,Thumbnail url,Channel name,Duration,Uploaded Time
Neend Churayee Meri - Lyrical Video | Ishq 1997 | Aamir Khan | Juhi Chawla | Ajay Devgn | Kajol,https://www.youtube.com/watch?v=gCcGXy_Mv8g,https://i.ytimg.com/vi/gCcGXy_Mv8g/maxresdefault.jpg,Sony Music India,"5 Minutes, 44 Seconds",2024-09-01T05:00:32
Alphaville - Forever Young (Official Video HD),https://www.youtube.com/watch?v=YHRvDo8rUoQ,https://i.ytimg.com/vi/YHRvDo8rUoQ/maxresdefault.jpg,Alphaville (official),"3 Minutes, 42 Seconds",2024-08-10T09:00:06
Alphaville - Forever Young (Official Video HD),https://www.youtube.com/watch?v=YHRvDo8rUoQ,https://i.ytimg.com/vi/YHRvDo8rUoQ/maxresdefault.jpg,Alphaville (official),"3 Minutes, 42 Seconds",2024-08-10T09:00:06
Elliot James Reay - I Think They Call This Love (Official Music Video),https://www.youtube.com/watch?v=e1mOmdykmwI,https://i.ytimg.com/vi/e1mOmdykmwI/maxresdefault.jpg,Elliot James Reay,"3 Minutes, 14 Seconds",2024-07-25T14:00:06
Elliot James Reay - I Think They Call This Love (Official Music Video),https://www.youtube.com/watch?v=e1mOmdykmwI,https://i.ytimg.com/vi/e1mOmdykmwI/maxresdefault.jpg,Elliot James Reay,"3 Minutes, 14 Seconds",2024-07-25T14:00:06
"Haan Ke Haan Song | Maharaj | A Netflix Film | Junaid, Sharvari, Sohail Sen, Monali Thakur, Kausar M",https://www.youtube.com/watch?v=NDjeeJwI08Q,https://i.ytimg.com/vi/NDjeeJwI08Q/maxresdefault.jpg,YRF,"3 Minutes, 11 Seconds",2024-07-03T07:30:15
Hozier - Too Sweet (Official Video),https://www.youtube.com/watch?v=NTpbbQUBbuo,https://i.ytimg.com/vi/NTpbbQUBbuo/maxresdefault.jpg,HozierVEVO,"4 Minutes, 9 Seconds",2024-05-10T18:00:08
Teri Jhuki Nazar Official Lyrical Video - Murder 3 | Pritam | Shafqat Amanat Ali | Bollywood Songs,https://www.youtube.com/watch?v=xrSZLa14haA,https://i.ytimg.com/vi/xrSZLa14haA/maxresdefault.jpg,Sony Music India,"5 Minutes, 48 Seconds",2024-04-27T11:45:42
"Tu Hi Meri Shab Hai - K.K | Gangster | Emraan Hashmi, Kangna Ranaut | Full 4K Video Song",https://www.youtube.com/watch?v=mWBvudKcByg,https://i.ytimg.com/vi/mWBvudKcByg/maxresdefault.jpg,Vishesh Films,"6 Minutes, 42 Seconds",2024-04-08T05:30:12
Her style of singing is so unique 😱,https://www.youtube.com/watch?v=4ysIVWTbt3A,https://i.ytimg.com/vi/4ysIVWTbt3A/maxresdefault.jpg,Lucky Nagra Music,26 Seconds,2024-03-09T22:13:19
"Tum Se(Full Video): Shahid, Kriti | Sachin-Jigar,Raghav,Varun,Indraneel |Teri Baaton Mein Uljha Jiya",https://www.youtube.com/watch?v=Nnop2walGmM,https://i.ytimg.com/vi/Nnop2walGmM/maxresdefault.jpg,T-Series,"4 Minutes, 22 Seconds",2024-02-26T12:32:57
"Sajni (Song): Arijit Singh, Ram Sampath | Laapataa Ladies | Aamir Khan Productions",https://www.youtube.com/watch?v=k3g_WjLCsXM,https://i.ytimg.com/vi/k3g_WjLCsXM/maxresdefault.jpg,T-Series,"2 Minutes, 26 Seconds",2024-02-12T05:30:25
"Sajni (Song): Arijit Singh, Ram Sampath | Laapataa Ladies | Aamir Khan Productions",https://www.youtube.com/watch?v=k3g_WjLCsXM,https://i.ytimg.com/vi/k3g_WjLCsXM/maxresdefault.jpg,T-Series,"2 Minutes, 26 Seconds",2024-02-12T05:30:25
#GulabiSadi ( गुलाबी साडी ) | Official #video | Sanju Rathod | G-Spark | Prajakta | #marathi Song,https://www.youtube.com/watch?v=B_6d3RBiEN0,https://i.ytimg.com/vi/B_6d3RBiEN0/maxresdefault.jpg,Sanju Rathod SR,"3 Minutes, 46 Seconds",2024-02-06T11:30:11
